CEEFBC3E	animData.bin
705847E4	appcore.gmb
50CA4D34	appear_legend.bch
ABE67DDC	appear_normal.bch
AEF78148	appear_visionary.bch
64E68048	areaData.bin
E3C81994	attack_enemy.bch
0C3875BE	AttributePlate.arc
EBCF39AA	back_boss.bch
E3C9EB7E	back_legend.bch
72D79B32	back_visionary.bch
F8436378	BigPinkButton.arc
D9DDBBAE	black_puzzle.bch
3B0B9A06	bossAction.bin
EF142422	bossActionPokemonData.bin
1F41D9F4	BossHpGauge.arc
B80F26A0	BossName.arc
BC696976	BossTurn.arc
CC1191AA	camera_catch_l.bch
C3A41A38	camera_catch_u.bch
A6A54160	camera_puzzle_l.bch
A0A42548	camera_puzzle_l_op.bch
C8AF9B08	camera_puzzle_u.bch
A9B6F432	camera_puzzle_u_op.bch
882EDBF2	camera_select_l.bch
09248A32	camera_select_u.bch
8822A352	cbf_std.bffnt
59240502	cbf_std_nashi.bffnt
5B66F11A	cec_box_icon.ctpk
DF61507A	cec_msg_icon.ctpk
803E007E	cecPresent.bin
5F7AF036	cezanne.bcfnt
407679A4	chainDamage.bin
0E568AC4	ChainValue.arc
321BDFFC	ChainValue_FR.arc
9313CEEC	ChainValue_GE.arc
B2435886	ChainValue_IT.arc
D37A856A	ChainValue_SP.arc
D8C4F7E2	ChainValue_UK.arc
E75E7A7E	ChainValue_US.arc
BC5FC73C	ChainValueNumber.arc
79884568	Checkin.arc
D5EC3BDE	checkin.gmb
6FA27686	CheckinBanner.arc
EFBE71B2	checkinBonus.bin
F7831C84	ClearRankBig.arc
87496DA6	ClearRankBig_FR.arc
085812E6	ClearRankBig_GE.arc
DB5DC410	ClearRankBig_IT.arc
FBE44DF0	ClearRankBig_SP.arc
7A644E4C	ClearRankBig_UK.arc
E588AC66	ClearRankBig_US.arc
838DC8FE	Common.arc
DEA51C58	common_001.bch
E2021BCC	common_l_001.bch
17363A30	CommonCreditRimit.arc
D5E528F8	CommonOrangeNumber.arc
0F1DBE74	CommonShopExplain.arc
65B791BA	confetti_clear.ptcl
D8087A50	confetti_open.ptcl
E0C244D4	confetti_rank_a.ptcl
D392408C	confetti_rank_b.ptcl
8F619486	confetti_rank_c.ptcl
F11E8E6E	confetti_rank_s.ptcl
091A3E10	country.bin
22C19130	damage_average.bch
A416B7E8	damage_effective.bch
72C57678	damage_lacking.bch
FB05AE14	DamageValue.arc
94734918	DamageValue_FR.arc
2E98ADC4	DamageValue_GE.arc
810A79FA	DamageValue_IT.arc
51334528	DamageValue_SP.arc
34359FF8	DamageValue_UK.arc
A5D4ECFE	DamageValue_US.arc
853FC844	debug_menu.arc
A5438A16	DialogPinkButton.arc
D0F366BA	DialogSmallPinkButton.arc
6D6B185C	down_legend.bch
C2E1AFFE	down_normal.bch
06E2EECC	down_visionary.bch
DD85EE96	ec.gmb
8CAA0CC4	Item07.bch
B7F54F96	Item_l_07.bch
FF89FD02	match_mega_center.bch
01055652	match_mega_zigRU.bch
500D299A	match_mega_zigRM.bch
205291BE	match_mega_zigRD.bch
7B571ADC	Item128.arc
65070844	PokeGetSuperChance.arc
5FB896E8	PokemonListItemPalette.arc
DBE75834	StageLvUpEffect.arc
CFAEA870	levelUpStagePrize.gmb
55E5F474	supportPokemonSort.gmb
6B54AD7C	st_sweat.bch
A016B21C	eventStageExtendSetting.bin
9EB18FA4	pokemonGet.bin
77B394BA	shopItem.bin
3F051192	soundData.bin
334A79A6	stageData.bin
2B762B60	stageDataEvent.bin
A0A387D0	stageDataExtra.bin
1FCDE6C4	stageLayout.bin
B08D813C	stageLayoutEvent.bin
7DE6B984	stageLayoutExtra.bin
C08F70C0	stagePlatePoint.bin
F665CF10	stagePlatePointEvent.bin
3131C42A	stagePlatePointExtra.bin
0F027662	stagePrize.bin
70DBBDF4	stagePrizeEvent.bin
288F5A1C	stagePrizeEventLevel.bin
EE121924	stageResultTips.bin
0A545C7C	timerData.bin
3E1FD050	titlePokemon.bin
01CD54B0	icon_erase_blind.bch
8B7C5474	messagePokemonTrainer_{0}.bin
062AE7D2	tutorialPokemonEditGoods.gmb
A71B00E2	env_black2.bch
4F56853C	eventStage.bin
444F0962	extdata_robin2.icn
4792D2E6	finish_flash.bch
217FC1E0	flagData.bin
871F4E8A	floorData.bin
9253CFCC	floorInit.gmb
C42A240E	floorReboot.gmb
AA335B52	font.bin
8FA967FE	font_lc_10_all.nftr
BB29CDA0	GameClear.arc
EBE302A0	GameOver.arc
EAF8384E	GameStart.arc
BA10E536	get_fail.bch
54B08516	get_fail_sp.bch
BC746060	get_middle.bch
9A529034	get_middle_sp.bch
405ACC62	get_start.bch
E96E61C4	get_start_sp.bch
AEED8A00	get_succeed.bch
D7816A96	get_succeed_sp.bch
DED2DDF0	GetGauge.arc
E128E652	GetGaugeIcon.arc
2E0AE616	gimmick_001.bch
30D3422A	gimmick_002.bch
3280FD36	gimmick_003.bch
18596752	gimmick_101.bch
1A5BE522	gimmick_102.bch
859D14D6	gimmick_103.bch
862145DE	gimmick_104.bch
79E7BCCA	GreenButton.arc
28531EDA	guide.bch
DFB182A8	gymData.bin
FFE79E58	hbm_ban_icon.arc
6DFBDEB6	hit_bug_01.ptcl
0008474C	hit_bug_mega.ptcl
5BBEE4AE	hit_dark_01.ptcl
D4CC384A	hit_dark_mega.ptcl
32694A04	hit_dragon_01.ptcl
CDBF2CEC	hit_dragon_mega.ptcl
30C0A994	hit_electric_01.ptcl
895D2786	hit_electric_mega.ptcl
60127FA2	hit_fairy_01.ptcl
DBA20EF0	hit_fairy_mega.ptcl
A3B7C63C	hit_fighting_01.ptcl
F9AF66A0	hit_fighting_mega.ptcl
737ECFFE	hit_fire_01.ptcl
3B383A78	hit_fire_mega.ptcl
87FAED84	hit_flying_01.ptcl
F0E7B38E	hit_flying_mega.ptcl
BD4C2AE8	hit_ghost_01.ptcl
510692DC	hit_ghost_mega.ptcl
77A478C4	hit_grass_01.ptcl
86A20406	hit_grass_mega.ptcl
900DEBEA	hit_ground_01.ptcl
F61F5D58	hit_ground_mega.ptcl
B841E2F8	hit_ice_01.ptcl
5EC75644	hit_ice_mega.ptcl
6AAAFD6C	hit_normal_01.ptcl
AA3A78AE	hit_normal_mega.ptcl
45AC1354	hit_poison_01.ptcl
4CCE9D96	hit_poison_mega.ptcl
0BB49EE2	hit_psychic_01.ptcl
BDF21C04	hit_psychic_mega.ptcl
EEA6C43A	hit_rock_01.ptcl
4DAA94D8	hit_rock_mega.ptcl
553EA7CE	hit_steel_01.ptcl
AE1414FC	hit_steel_mega.ptcl
7833B578	hit_water_01.ptcl
FC035014	hit_water_mega.ptcl
E0A924D0	i000.bch
FE1B87D0	icon_blind.bch
DD8718BE	icon_blind_2.bch
5EC426BE	icon_cage.bch
1826E03A	icon_cage_2.bch
6C94EC8E	icon_change_tr.bch
E132ECEA	icon_change_wave.bch
56ADBD94	icon_erase_cage.bch
2EA7ECB8	icon_erase_iron.bch
4593AEBC	icon_erase_rock.bch
600B0B08	Item.arc
B2B48F34	Item00.bch
B0CE0144	Item01.bch
642FF144	Item02.bch
66D99054	Item03.bch
9AE24F14	Item04.bch
9A391EF4	Item05.bch
8EF0D904	Item06.bch
9CB51CB2	itemData.bin
7FC7F92E	ItemSet.arc
CCFF30E8	ItemSetList.arc
7C08AD80	ItemSetPlate.arc
EB9B219E	JewelShop.arc
8FDA9C56	kirakiraCursor.arc
6D4A9912	layout.bin
75ED3780	layoutLocalize.bin
E9098B38	ListArrow.arc
32D33AAE	ListSearchArrow.arc
38D32B8C	map00.bch
6A93EABA	map00a_l.bch
9D5EBF24	map00a_u.bch
6879A6AE	map00b_l.bch
B1253588	map00b_u.bch
D1EDB278	map01.bch
99F748D8	map01a_l.bch
B2608A6E	map01a_u.bch
0E7DCF72	map01b_l.bch
ECABD798	map01b_u.bch
6691FFA6	map01s_l.bch
2B36074E	map01s_u.bch
ACA0C2CC	map02.bch
FBD17FCC	map02a_l.bch
970CC7B0	map02a_u.bch
33995EA6	map02b_l.bch
971B1E8C	map02b_u.bch
DEC60C22	map02s_l.bch
F171EF22	map02s_u.bch
B62779C0	map03.bch
E729C05A	map03a_l.bch
38E2F8E6	map03a_u.bch
AC5C19CC	map03b_l.bch
153B85A6	map03b_u.bch
1240B48E	map03s_l.bch
067757A0	map03s_u.bch
A0845A14	map04.bch
B5B729C8	map04a_l.bch
ADB39810	map04a_u.bch
0A08D63A	map04b_l.bch
F9BFF694	map04b_u.bch
73CE9904	map04c_l.bch
D3CADABE	map04c_u.bch
514CC462	map04s_l.bch
D085EA8E	map04s_u.bch
BA1BA6B0	map05.bch
8E33EEC6	map05a_l.bch
DABD149E	map05a_u.bch
8161BAAC	map05b_l.bch
8114669C	map05b_u.bch
A261EEAE	map05c_l.bch
7801AD1C	map05c_u.bch
1D31958C	map05s_l.bch
1CBFF152	map05s_u.bch
A91D25E8	map06.bch
C2D5EB2E	map06a_l.bch
685FBFE2	map06a_u.bch
D870EE88	map06b_l.bch
7643DCA8	map06b_u.bch
E34B9D80	map06c_l.bch
11050A9E	map06c_u.bch
171ABC2A	map06s_l.bch
0DCBC008	map06s_u.bch
ACE290A4	map07.bch
88BA5DD6	map07a_l.bch
21D651AC	map07a_u.bch
CB3AAE30	map07b_l.bch
B4C54ADA	map07b_u.bch
E79EB9F0	map07c_l.bch
556DDCA4	map07c_u.bch
291DEE90	map07s_l.bch
54880190	map07s_u.bch
AEF02728	map08.bch
618D4E30	map08a_l.bch
C0B7C866	map08a_u.bch
9E018DE4	map08b_l.bch
4C713A58	map08b_u.bch
AAAADE74	map08c_l.bch
144FB0D0	map08c_u.bch
F10DFE10	map08s_l.bch
C559A5FE	map08s_u.bch
A18ECB1C	map09.bch
EAF7607C	map09a_l.bch
456A6930	map09a_u.bch
A578C1E6	map09b_l.bch
455F7D5E	map09b_u.bch
96C9594A	map09c_l.bch
28518E94	map09c_u.bch
D8658DC6	map09s_l.bch
3E2C50EE	map09s_u.bch
BE26AA90	map10.bch
8AB41D1C	map10a_l.bch
0F15FE66	map10a_u.bch
8F3AD8E4	map10b_l.bch
39B86C9C	map10b_u.bch
C87BBB6A	map10c_l.bch
4C60D6C4	map10c_u.bch
2BEB3BF6	map10s_l.bch
C57B8F16	map10s_u.bch
54E4C844	map11.bch
D5FC7A26	map11a_l.bch
190C2990	map11a_u.bch
1CEFC5D2	map11b_l.bch
020D1E4E	map11b_u.bch
E12E66AE	map11c_l.bch
732B98E8	map11c_u.bch
CC107100	map11s_l.bch
FF53D4A4	map11s_u.bch
84E90D1A	map12.bch
28B3D1AE	map12a_l.bch
AB319F58	map12a_u.bch
54894CE6	map12b_l.bch
F32AEC5A	map12b_u.bch
8537BED2	map12c_l.bch
60CD51DE	map12c_u.bch
3FF10786	map12s_l.bch
361C1092	map12s_u.bch
B93D7002	map13.bch
DBB98AF0	map13a_l.bch
37D3767A	map13a_u.bch
05BB2DB4	map13b_l.bch
80766C2E	map13b_u.bch
9B195CF2	map13s_l.bch
59BEA7EE	map13s_u.bch
9A808242	map14.bch
582020D0	map14a_l.bch
4B53F2F6	map14a_u.bch
A00D5234	map14b_l.bch
B1359BB2	map14b_u.bch
6E60D0E8	map14s_l.bch
1D4158E2	map14s_u.bch
9C9E4F2A	map15.bch
D6D55942	map15a_l.bch
478BF918	map15a_u.bch
3D3174A0	map15b_l.bch
88549350	map15b_u.bch
385AADF6	map15c_l.bch
B382A3B4	map15c_u.bch
DD5D2C9A	map15s_l.bch
13F39830	map15s_u.bch
5A8672AE	mapGround.bin
E688E2A8	match_3.bch
969B9DC6	match_mega.bch
43427572	match_mega_cl.bch
37BE75CE	match_mega_cr.bch
B447ED0E	match_mega_o.bch
D7EAF1F8	match_mega_res.bch
395562A0	match_mega_sl.bch
3D718910	match_mega_sr.bch
D0A9DD82	match_mega_tl.bch
DEB7FE6E	match_mega_tm.bch
E4A81C20	match_mega_tr.bch
1DBB2D04	match_mega_v.bch
26B83B28	match_mega_x.bch
27606A6C	match_mega_y.bch
18A226BE	match_skill.bch
4F39271C	match_skill_atkup.bch
9FE97DC4	match_skill_defence.bch
F697D618	match_skill_megaup.bch
D08019F2	matchDamage.bin
11EB0D16	mega_change.bch
5DA47FCA	mega_env.bch
383BD990	mega_evolve.bch
69E05794	mega_evolve_bg.bch
995C5932	mega_pokemon_003.bch
B84AFF52	mega_pokemon_003_lo.bch
83635FA2	mega_pokemon_006.bch
A17323BA	mega_pokemon_006_01.bch
C514D284	mega_pokemon_006_01_lo.bch
2BD1B3A2	mega_pokemon_006_lo.bch
E520F7B8	mega_pokemon_009.bch
E85AF358	mega_pokemon_009_lo.bch
1448413E	mega_pokemon_015.bch
92C55932	mega_pokemon_015_lo.bch
6A3059D4	mega_pokemon_018.bch
D94A2E56	mega_pokemon_018_lo.bch
0CA86342	mega_pokemon_065.bch
FC0F66F2	mega_pokemon_065_lo.bch
DD1BD98E	mega_pokemon_080.bch
133B154E	mega_pokemon_080_lo.bch
6E6C5CB0	mega_pokemon_094.bch
75D1BE20	mega_pokemon_094_lo.bch
7E397DFA	mega_pokemon_115.bch
A18F75A2	mega_pokemon_115_lo.bch
E99FF61C	mega_pokemon_127.bch
61C36EC6	mega_pokemon_127_lo.bch
1DE5C3D4	mega_pokemon_130.bch
E830650A	mega_pokemon_130_lo.bch
2B945EFE	mega_pokemon_142.bch
53072B36	mega_pokemon_142_lo.bch
37593D44	mega_pokemon_150.bch
D96C5948	mega_pokemon_150_01.bch
BF75F83C	mega_pokemon_150_01_lo.bch
96B81CC8	mega_pokemon_150_lo.bch
A1A463EE	mega_pokemon_181.bch
A5545636	mega_pokemon_181_lo.bch
05450884	mega_pokemon_208.bch
64DED436	mega_pokemon_208_lo.bch
7FBDB1CA	mega_pokemon_212.bch
6747D51E	mega_pokemon_212_lo.bch
2C417E80	mega_pokemon_214.bch
6742CC14	mega_pokemon_214_lo.bch
A444636E	mega_pokemon_229.bch
520BA15E	mega_pokemon_229_lo.bch
AECB4566	mega_pokemon_248.bch
127D1E38	mega_pokemon_248_lo.bch
D21C0978	mega_pokemon_254.bch
2B55D7E8	mega_pokemon_254_lo.bch
D024E6D4	mega_pokemon_257.bch
0079073C	mega_pokemon_257_lo.bch
D71B44AE	mega_pokemon_260.bch
395F43CE	mega_pokemon_260_lo.bch
3EAFDBF2	mega_pokemon_282.bch
68A59EE4	mega_pokemon_282_lo.bch
58043BE0	mega_pokemon_302.bch
15E73A96	mega_pokemon_302_lo.bch
520E60D0	mega_pokemon_303.bch
2EA29568	mega_pokemon_303_lo.bch
F661E456	mega_pokemon_306.bch
637E77C6	mega_pokemon_306_lo.bch
ADF25B8C	mega_pokemon_308.bch
8531277E	mega_pokemon_308_lo.bch
D68E234C	mega_pokemon_310.bch
A75CDF5C	mega_pokemon_310_lo.bch
